label,comment
1,期待你的作品！！！[太开心] 天哪天哪！我要模仿！我要试一试！！太油创意了！
0,这也太便宜了吧，到底是去呢？还是去呢？[抓狂]
0,我有多久没有看过那片雪啊，想念故乡[泪]
0,哈哈哈哈！ 什么和什么嘛！大头宝玉和大眼黛玉[抓狂][抓狂]
0,做衣服很简单，做模式很难，做生意很简单，做好服务很难，要时间来积累，要学习来完善，[怒]这些都是借口，其实俺也是个吃货，海底捞[偷笑]
1,大眼儿写得太好了！[鼓掌][赞][给力]
0,这令人崩溃的睡不着[抓狂]
1,有一个地方，去的时候如同归家，只想静对青山绿水，不接电话不发微博。离开之后，它却仍在你的心里、你的梦里，你的歌声里。[哈哈]
1,广总这次又把蛋给扯了~~如果神、魔、三魂七魄是封建糟粕，尼玛的年年寒暑假播个毛线《西游记》，这不是毒害青少年么？[哈哈]
0,忘了骂最关键的了：这破警察!那么多天不贴!放水养鱼呐![泪][泪][泪][泪]
0,这会不会是当年“六毛随便”的转型产物？ 爹您这算炒作我吗？[抓狂][抓狂]我晕
1,同志们，信号啊！！！强烈关注！！！！！！[鼓掌]
1,礼物是王道，傲天公司送的礼物，我爱酒店管家，我爱航班管家！！[爱你]
1,活动现场聚集了好多人 [哈哈]
0,感动的！[泪] 现在社会最需要的！ 转发微博
1,谢谢赵姐姐！！[爱你][爱你][爱你][爱你] 大家一起来参与哦[偷笑]
0,救救孩子吧！[泪][泪][泪][泪]一起救救小冰冰
1,做我的情人吧[哈哈] 不用人? 公?的！[哈哈][哈哈][哈哈]
1,还真是、、、[哈哈] [阴险]
1,在这个寒冷的冬日，成都信息工程学院银杏酒店管理学院 举行的第二届银杏好声音温暖来袭，学校同学们带来的演唱都非常棒呢[鼓掌]
1,三月阳光正好，暖意融融。细小的美丽无处不在，祝福新的春天[可爱]
0,顺峰是好吃，其实最期待滴是凉皮[失望][馋嘴]
0,早就是这样了。周六的书评周刊对行业影响很大！[衰]《新京报》是我家订的唯一一份报纸，早知这样今年不订了
1,[哈哈] 行！[哈哈]
0,外出办事回到公司，居然有一份 的起司蛋糕在等着我[泪]雪中送炭啊，救活了一帮加班的小伙伴，蛋糕很松软[爱你]味道很赞
1,这我能不转么 在公司实习做的第一个微博应用终于上线了，是?丝还是高富帅还是白富美都来测测看呗[哈哈]
0,说畜生都糟蹋了这个词！[怒][愤怒]
1,[哈哈]情绪稳定很重要
1,今儿可算见到涛涛妈咪了，可爱的 果然和妈妈长得好像好像啊??涛涛妈咪热情又幽默，可惜今天没捞着合影，明儿找机会补上[哈哈][哈哈]
1,组团去点赞[爱你][爱你][爱你] 好意思吗[崩溃][崩溃][崩溃][抠鼻屎][抠鼻屎][抠鼻屎]还不快点点赞去[纠结][纠结][纠结][偷乐][偷乐][偷乐]
0,整个烧废了，超市里面人都出来了吧[晕]出动了五辆消防车
0,看不下去了。[怒] 详情:
0,发起脾气来就搂不住这是多冤业[泪]
0,好吧，已领会精神[衰]领会精神就可以了。不要深究。 李易同志太讲究了，还专门查过啊[晕]
1,用 摇摇招车，小伙伴们再也不用担心打车没带现金了，师傅们也不用为找零钱而发愁了！[鼓掌]
0,第五幅图亮了 泥马，土豪的宠物都是狮子老虎！[泪][泪][泪]
1,啦啦啦，谢谢肖老师，艾欣也在此给各位老师拜年啦，新年快乐，新的一年顺利平安[可爱]
0,[悲伤] 虽然每次嘌你最开心，但是我们是真心爱你的，不要不开心，有我们不要怕? 还要 @ 不到的豆子，你们是我的最佳损友。祝你们幸福。
0,熬夜看完中国男篮，颇为在伦敦期间未去现场观赛庆幸，真丢不起这人：主动突破没有、三分球不及人三分之一、罚球命中率低得可怜，更可怕的是，所有人眼里没杀气、没血性---除了大郅。我们知道，洋帅邓化德赛后铁定离开，但他只能负该负的责任；谁请的他、谁耽误了男篮这四年，也得有人给我们说清楚[怒]
1,刚得知一老同事的新爱情故事，对方我也认识，而且认识好多年的。商界做采编的有点年头的人，应该都认识。爱情的到来，和时间无关。不禁感慨，缘，真是妙不可言。感动感动，祝福祝福！那谁，这里就不点名了，要请我们吃顿好的哦！[哈哈]
1,的主演、客串演员们纷纷上榜哦！[赞] 非常感谢大家的支持[太开心] 再接再厉[偷笑] 龙门威武啊！
0,稳你看人家都有画儿收！我生日还俩月啊！去年你就逃了！[泪][泪]
1,"确实，海棠湾的海不像三亚别的湾区的海那般宁静稳持，她更加富有自己的个性~时而平静如画，时而随风浪涌，更像一位朴实的田间少女，时刻展现本我的风姿而毫不扭捏。今天是周末,祝大家周末愉快哈~[哈哈]"
0,坐着素质极差的司机的车刚到酒店！还得等态度极差的服务员来换房间极脏的床单被罩[怒][怒]
1,[哈哈]需求要挖掘 学习一下… 给产品经理看的么？ [哈哈]
0,在我身后按喇叭的车，我脑子里都幻想，先砸了大玻璃，再砸车灯，再把人拽出来，暴打一顿，今天我是暴力版[怒][怒][怒]
0,[失望]王老师说的好！说出来心声！ 说得好！媒体如果不能体现民意，只能附从官声，误国误民！
0,[哈哈]你们全都是坏银[泪]
0,硬要把龌龊难堪的真相美化，这么做本身就是假丑恶。[怒]什么东西！什么世道！
0,我们的目的是：没有蛀牙。今天是我人生的突破，从小超级怕牙医的我被生生的逼到爱德口腔看牙，[委屈]洗了一遍，下次还要补，差点没吓死我[泪]耳边都是??的响声[可怜]感觉牙医和纹身师有异曲同工之妙[挖鼻屎]我次再来我是茄子[悲伤]那个胖子你等着，我一定会回来的，一定要报复的[怒骂]
0,又来老舅家混饭，欺负了可爱的小乖，吃了一肚子涮羊肉[馋嘴]幸福的周末就要走了[泪]
